State_Num,County_Num,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Temp_Max
41,43,62.34285714285714,66.74761904761905,74.34285714285714,82.57222222222222,89.54444444444444,94.53571428571429,93.5579365079365,92.75,86.0515873015873,78.81111111111112,68.53650793650793,61.10793650793651,94.53571428571429
41,45,51.680952380952384,56.19603174603174,64.3984126984127,73.9031746031746,81.81269841269841,90.40873015873017,93.67222222222222,92.69047619047619,83.65079365079364,73.06825396825397,60.74444444444445,51.256349206349206,93.67222222222222
41,47,68.04285714285714,72.06984126984128,78.37063492063493,85.24920634920635,89.81666666666666,94.3952380952381,96.4015873015873,97.16428571428571,90.47619047619048,84.02619047619048,74.83333333333333,67.7611111111111,97.16428571428571
41,49,56.712698412698415,61.18571428571428,68.64920634920635,77.40793650793651,83.72142857142858,91.3515873015873,95.13095238095238,95.35793650793651,86.66666666666667,76.82777777777778,65.32619047619048,56.93809523809524,95.35793650793651
41,51,60.03809523809524,63.61825396825397,70.93412698412699,78.49603174603175,84.96984126984127,91.72222222222223,95.0436507936508,95.93015873015872,88.58809523809524,79.9484126984127,68.32142857142857,60.48571428571429,95.93015873015872
41,53,59.17619047619048,63.17857142857143,70.39444444444445,78.23571428571428,84.36587301587302,91.64444444444445,95.3984126984127,95.78730158730158,87.79444444444445,78.36825396825397,66.88253968253969,59.52222222222222,95.78730158730158
41,55,61.29126984126984,64.96031746031746,72.33333333333333,79.63412698412698,85.78571428571429,92.47301587301587,95.65079365079364,96.37936507936507,89.0468253968254,80.4484126984127,69.27698412698413,61.65079365079365,96.37936507936507
41,57,63.263492063492066,65.92380952380952,71.42380952380952,77.82222222222222,83.67539682539683,89.21825396825398,91.06666666666666,91.74365079365079,86.81587301587301,80.32619047619048,70.96666666666667,64.2468253968254,91.74365079365079
41,59,55.154761904761905,59.364285714285714,67.43809523809524,76.34920634920636,83.00396825396825,90.55952380952381,94.32380952380953,94.39682539682539,85.60793650793651,75.61428571428571,63.773809523809526,55.23095238095238,94.39682539682539
41,61,69.68571428571428,72.90793650793651,78.04761904761905,83.80714285714285,88.37539682539682,92.28888888888889,93.72460317460317,94.79523809523809,89.58412698412698,84.38650793650794,76.18809523809524,69.91428571428571,94.79523809523809
41,63,54.51904761904762,58.73095238095238,66.52063492063492,74.91904761904762,82.2388888888889,89.63095238095238,93.38015873015873,93.6952380952381,86.17698412698412,76.32698412698413,64.11587301587302,55.387301587301586,93.6952380952381
41,65,48.73095238095238,52.73730158730159,61.25238095238095,70.76349206349207,79.01349206349207,88.18174603174603,92.02619047619048,90.54523809523809,81.88968253968254,70.82380952380953,57.90873015873016,48.287301587301585,92.02619047619048
41,67,54.94285714285714,58.946825396825396,67.05873015873016,75.18571428571428,82.54285714285714,89.75396825396825,93.31904761904762,93.38333333333333,86.24761904761905,76.29523809523809,64.16031746031746,55.58730158730159,93.38333333333333
41,69,50.534126984126985,54.84920634920635,62.77063492063492,71.9531746031746,80.22222222222223,88.62936507936507,90.79444444444445,89.50634920634921,81.18968253968254,71.23492063492064,59.037301587301585,49.84047619047619,90.79444444444445
41,71,60.973015873015875,63.58015873015873,69.66825396825396,75.98650793650793,82.57539682539682,88.29206349206349,90.37857142857143,90.62301587301587,85.62301587301587,78.6079365079365,68.65079365079364,61.78492063492064,90.62301587301587
41,73,57.71904761904762,61.60952380952381,69.13015873015873,76.82619047619048,83.63412698412698,90.4531746031746,93.73571428571428,94.39206349206349,87.28809523809524,78.31111111111112,66.56031746031746,58.21984126984127,94.39206349206349
41,75,52.47777777777778,57.128571428571426,65.87142857142857,75.85714285714286,83.84206349206349,92.7531746031746,96.87063492063493,96.16111111111111,86.4888888888889,75.27539682539683,62.31190476190476,52.297619047619044,96.87063492063493
41,77,53.41904761904762,58.33412698412698,66.7015873015873,76.16428571428571,83.47460317460317,91.98015873015873,96.74047619047619,97.02619047619048,87.6,76.22698412698412,63.68650793650794,53.99126984126984,97.02619047619048
