State_Num,County_Num,Yearly_Precip,Temp_Max,Temp_Min
1,1,53.0647619047619,91.66587301587302,35.144444444444446
1,3,61.626984126984134,90.68253968253968,40.47698412698413
1,5,51.93047619047619,91.24047619047619,36.656349206349205
1,7,54.47031746031746,91.31904761904762,33.195238095238096
1,9,55.26555555555556,90.20555555555555,31
1,11,51.71515873015873,91.18412698412699,35.72936507936508
1,13,55.29166666666667,91.41666666666667,35.89126984126984
1,15,52.80563492063492,90.3031746031746,31.665873015873014
1,17,52.73785714285714,90.17301587301587,32.05555555555556
1,19,52.944603174603174,90.36507936507937,31.06984126984127
1,21,53.695079365079366,91.02063492063492,33.53888888888889
1,23,56.07261904761906,91.87857142857143,35.57698412698413
1,25,57.19714285714286,91.7611111111111,36.44920634920635
1,27,55.41769841269841,89.45714285714286,31.598412698412698
1,29,53.56142857142857,89.13571428571429,30.75793650793651
1,31,55.75896825396826,91.32460317460317,37.31984126984127
1,33,53.417698412698414,90.9095238095238,29.06904761904762
1,35,57.62119047619048,91.75555555555556,37.05873015873016
1,37,54.19388888888889,90.60317460317461,33.17460317460318
1,39,58.04738095238095,91.90714285714286,37.013492063492066
1,41,54.89039682539682,91.2563492063492,35.614285714285714
1,43,55.82904761904762,90.25,30.307936507936507
1,45,54.08873015873015,91.11666666666666,38.14206349206349
1,47,52.24420634920634,91.54047619047618,36.03650793650794
1,49,55.252619047619056,88.18253968253968,30.43968253968254
1,51,52.91460317460317,91.60238095238095,34.81349206349206
1,53,60.10055555555555,91.85,38.01428571428571
1,55,54.03626984126984,90.0579365079365,31.704761904761906
1,57,56.122063492063496,91.43095238095238,32.22539682539683
1,59,54.89039682539683,90.22063492063492,29.53253968253968
1,61,56.98579365079366,91.54603174603174,38.18174603174603
1,63,52.72666666666666,91.91587301587302,34.66984126984127
1,65,53.074126984126984,91.48095238095239,34.757936507936506
1,67,52.93420634920635,91.10317460317461,38.22777777777778
1,69,53.81547619047619,91.47936507936508,39.20079365079365
1,71,54.80833333333333,88.75079365079365,30.126190476190477
1,73,55.00769841269841,90.99126984126984,32.25555555555555
1,75,54.89753968253968,91.64761904761905,32.28968253968254
1,77,53.84777777777778,90.72698412698412,28.492063492063494
1,79,53.51547619047618,90.3452380952381,29.75873015873016
1,81,52.06468253968255,90.56746031746032,34.176984126984124
1,83,53.67777777777778,90.36428571428571,29.56111111111111
1,85,51.784444444444446,91.79285714285714,35.95238095238095
1,87,51.38230158730158,91.51904761904763,35.20793650793651
1,89,54.349761904761905,90.10634920634921,29.978571428571428
1,91,53.42357142857143,91.67777777777778,35.66111111111111
1,93,55.94912698412699,90.67380952380952,30.58809523809524
1,95,54.292539682539676,89.36746031746031,31.335714285714285
1,97,62.289206349206346,90.6968253968254,39.93730158730159
1,99,56.617222222222225,91.61825396825397,37.076190476190476
1,101,51.55825396825397,91.81349206349206,35.759523809523806
1,103,53.71896825396825,90.32380952380953,30.150793650793652
1,105,52.865396825396815,91.21587301587302,34.83095238095238
1,107,53.36928571428571,91.97698412698412,33.551587301587304
1,109,53.87539682539682,91.15873015873017,36.365873015873014
1,111,54.20222222222222,89.53650793650793,31.07777777777778
1,113,49.67031746031747,91.40396825396826,35.49285714285714
1,115,54.68960317460317,90.53968253968254,31.61031746031746
1,117,54.396746031746034,91.0015873015873,32.50238095238095
1,119,53.57531746031746,91.83333333333333,34.984920634920634
1,121,53.36206349206349,90.82222222222222,32.2968253968254
1,123,53.598492063492074,90.79523809523809,32.60634920634921
1,125,54.83515873015873,91.80873015873016,33.574603174603176
1,127,56.12507936507936,91.16111111111111,31.728571428571428
1,129,59.468650793650795,91.96507936507936,36.736507936507934
1,131,53.409841269841266,91.68650793650794,36.56507936507936
1,133,56.61698412698412,90.04126984126984,30.074603174603176
2,1,12.645873015873017,85.87142857142857,17.36984126984127
2,3,14.005238095238095,92.73253968253968,29.080952380952382
2,5,12.913968253968253,88.73015873015873,19.865873015873017
2,7,19.692698412698416,92.2420634920635,28.803174603174604
2,9,14.672460317460319,92.19761904761904,30.65
2,11,16.29452380952381,87.33015873015873,26.21904761904762
2,12,5.470396825396826,105.10317460317461,37.87936507936508
2,13,8.632857142857143,103.1952380952381,37.67063492063492
2,15,9.971031746031745,96.65714285714286,31.445238095238096
2,17,11.559285714285714,88.33253968253969,18.174603174603174
2,19,11.789682539682541,98.74047619047619,35.62380952380953
