State_Num,County_Num,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Temp_Min
15,153,23.998412698412697,25.753968253968253,33.13968253968254,41.33730158730159,50.5,59.43333333333333,63.77777777777778,62.78968253968254,54.513492063492066,41.85873015873016,31.902380952380952,25.73174603174603,23.998412698412697
15,155,23.997619047619047,25.84285714285714,34.19761904761905,43.18015873015873,52.439682539682536,60.845238095238095,64.71746031746032,63.231746031746034,55.14365079365079,43.03333333333333,33.16904761904762,26.25873015873016,23.997619047619047
15,157,26.07857142857143,28.425396825396824,37.224603174603175,46.73571428571429,55.9531746031746,64.64682539682539,68.29126984126984,66.71746031746032,58.2952380952381,46.037301587301585,35.68730158730159,28.143650793650792,26.07857142857143
15,159,24.442063492063493,26.452380952380953,33.843650793650795,41.90873015873016,50.76031746031746,59.727777777777774,63.76269841269841,63.20238095238095,55.088095238095235,42.63174603174603,32.53333333333333,26.141269841269843,24.442063492063493
15,161,21.947619047619046,23.366666666666667,31.804761904761904,40.8531746031746,50.268253968253966,58.92777777777778,62.73571428571429,61.28809523809524,53.115873015873014,41.15873015873016,31.495238095238093,24.177777777777777,21.947619047619046
15,163,23.145238095238096,25.03174603174603,33.7031746031746,42.977777777777774,52.455555555555556,61.156349206349205,64.91269841269842,63.41269841269841,54.945238095238096,43.13650793650794,33.037301587301585,25.424603174603174,23.145238095238096
15,165,23.733333333333334,25.311904761904763,33.15396825396825,41.64920634920635,50.925396825396824,59.46349206349206,63.65079365079365,62.432539682539684,54.22857142857143,42.02619047619048,32.23095238095238,25.575396825396826,23.733333333333334
15,167,23.76984126984127,25.427777777777777,33.66587301587302,42.75714285714286,52.333333333333336,60.76984126984127,64.6984126984127,63.18809523809524,55.10952380952381,43.33095238095238,33.28095238095238,26.062698412698413,23.76984126984127
15,169,24.23095238095238,26.246825396825397,34.51111111111111,43.138888888888886,52.12222222222222,60.574603174603176,64.21111111111111,62.96507936507936,55.1,42.90555555555556,32.91984126984127,26.23095238095238,24.23095238095238
15,171,25.173015873015874,27.26904761904762,35.25555555555555,43.567460317460316,52.50476190476191,60.79920634920635,64.48095238095237,63.3,55.4531746031746,43.33015873015873,33.46111111111111,26.942063492063493,25.173015873015874
15,173,23.053968253968254,24.603174603174605,32.785714285714285,41.48253968253968,50.904761904761905,59.38809523809524,63.43650793650794,62.22539682539683,54.0484126984127,42.18333333333333,32.208730158730155,25.042857142857144,23.053968253968254
15,175,23.495238095238093,24.99126984126984,32.64047619047619,41.0031746031746,50.31190476190476,59.165079365079364,63.52936507936508,62.43015873015873,53.990476190476194,41.35476190476191,31.515873015873016,25.384126984126983,23.495238095238093
15,177,25.83015873015873,27.942857142857143,36.61349206349206,45.612698412698414,54.91984126984127,63.324603174603176,66.97777777777777,65.3404761904762,57.05555555555556,44.984920634920634,35.04920634920635,27.76904761904762,25.83015873015873
15,179,23.884126984126983,25.738888888888887,34.25714285714286,43.46666666666667,52.92777777777778,61.342063492063495,65.27142857142857,63.87063492063492,55.583333333333336,43.467460317460315,33.396031746031746,26.203968253968252,23.884126984126983
15,181,22.52777777777778,23.95952380952381,32.343650793650795,41.180952380952384,50.675396825396824,59.31507936507936,63.338095238095235,61.99285714285714,53.714285714285715,41.89523809523809,31.957142857142856,24.67936507936508,22.52777777777778
15,183,24.86984126984127,26.943650793650793,35.52619047619048,44.457142857142856,53.705555555555556,62.24761904761905,65.94920634920635,64.28412698412698,56.11984126984127,44.17301587301587,34.21904761904762,26.862698412698414,24.86984126984127
15,185,22.626190476190477,24.538095238095238,33.233333333333334,42.62063492063492,52.38333333333333,60.91984126984127,64.88888888888889,63.323015873015876,55.01031746031746,42.827777777777776,32.73412698412698,24.915079365079364,22.626190476190477
15,187,22.60238095238095,24.413492063492065,32.9436507936508,42.2484126984127,51.80714285714286,60.666666666666664,64.71507936507936,63.19444444444444,54.990476190476194,43.111111111111114,32.93174603174603,25.06904761904762,22.60238095238095
15,189,25.12936507936508,26.875396825396827,34.163492063492065,42.541269841269845,51.64920634920635,60.29761904761905,64.51825396825397,63.45793650793651,55.387301587301586,42.96904761904762,33.04365079365079,26.604761904761904,25.12936507936508
15,191,22.507142857142856,24.06111111111111,32.51190476190476,41.666666666666664,51.346825396825395,60.32380952380952,64.34603174603174,62.857142857142854,54.46666666666667,42.58968253968254,32.59920634920635,24.928571428571427,22.507142857142856
15,193,25.086507936507935,26.845238095238095,33.97936507936508,42.07539682539682,51.112698412698414,59.78650793650794,64.09285714285714,63.06111111111111,55.083333333333336,42.6015873015873,32.513492063492066,26.395238095238096,25.086507936507935
15,195,25.37142857142857,27.3015873015873,34.45952380952381,42.27301587301587,51.27619047619048,60.08412698412698,64.10396825396825,63.492063492063494,55.63174603174603,43.12380952380953,32.95,26.812698412698413,25.37142857142857
15,197,24.167460317460318,25.79920634920635,33.6515873015873,42.29206349206349,51.66428571428571,60.15873015873016,64.2515873015873,63.08571428571429,54.946825396825396,42.91031746031746,32.93174603174603,26.043650793650794,24.167460317460318
15,199,24.965873015873015,26.61190476190476,34.34920634920635,42.80238095238095,51.99126984126984,60.31984126984127,64.12380952380953,62.81031746031746,54.84444444444444,42.64365079365079,33.06428571428572,26.832539682539682,24.965873015873015
15,201,22.28333333333333,23.751587301587303,32.16825396825397,41.18412698412698,50.654761904761905,59.41587301587302,63.365873015873014,61.91428571428572,53.63809523809524,41.74920634920635,31.92936507936508,24.56984126984127,22.28333333333333
15,203,24.757142857142856,26.270634920634922,34.032539682539685,42.50952380952381,51.74920634920635,60.03968253968254,63.90873015873016,62.53333333333333,54.57698412698413,42.74523809523809,33.163492063492065,26.66031746031746,24.757142857142856
15,205,23.084126984126986,24.474603174603175,32.42619047619048,40.86825396825397,50.137301587301586,58.826190476190476,63.05793650793651,61.773809523809526,53.44126984126984,41.09761904761905,31.405555555555555,25.026190476190475,23.084126984126986
15,207,24.728571428571428,26.42936507936508,34.507936507936506,43.01190476190476,52.03968253968254,60.457142857142856,64.14047619047619,62.87222222222222,54.96111111111111,42.70793650793651,32.96825396825397,26.61190476190476,24.728571428571428
15,209,22.746825396825397,24.315873015873017,32.70238095238095,41.86349206349206,51.492063492063494,60.23412698412698,64.23253968253968,62.80793650793651,54.61190476190476,42.834920634920636,32.675396825396824,25.10238095238095,22.746825396825397
